,kpca__kernel,kpca__n_components,kpca__gamma,kpca__degree,Accuracy,Fit_time
88,sigmoid,12,0.043333333333333335,,0.82,0.03042712211608887
89,sigmoid,14,0.043333333333333335,,0.8266666666666665,0.020597410202026368
90,sigmoid,4,0.04555555555555556,,0.8366666666666667,0.023030185699462892
91,sigmoid,8,0.04555555555555556,,0.8466666666666667,0.015900468826293944
92,sigmoid,10,0.04555555555555556,,0.8233333333333335,0.030124616622924805
93,sigmoid,12,0.04555555555555556,,0.82,0.027518272399902344
94,sigmoid,14,0.04555555555555556,,0.8266666666666665,0.01909976005554199
95,sigmoid,4,0.04777777777777778,,0.8366666666666667,0.017136526107788087
96,sigmoid,8,0.04777777777777778,,0.8466666666666667,0.013320112228393554
97,sigmoid,10,0.04777777777777778,,0.8233333333333335,0.02519855499267578
98,sigmoid,12,0.04777777777777778,,0.82,0.02963576316833496
99,sigmoid,14,0.04777777777777778,,0.8266666666666665,0.02266969680786133
100,sigmoid,4,0.05,,0.8366666666666667,0.02280592918395996
101,sigmoid,8,0.05,,0.8466666666666667,0.014234542846679688
102,sigmoid,10,0.05,,0.8200000000000001,0.030250072479248047
103,sigmoid,12,0.05,,0.82,0.02772512435913086
104,sigmoid,14,0.05,,0.8266666666666665,0.02233858108520508
105,poly,4,0.03,1.0,0.8333333333333334,0.015848779678344728
106,poly,8,0.03,1.0,0.8366666666666667,0.009940481185913086
107,poly,10,0.03,1.0,0.8233333333333335,0.0255739688873291
108,poly,12,0.03,1.0,0.8133333333333332,0.024313926696777344
109,poly,14,0.03,1.0,0.8233333333333333,0.015459918975830078
110,poly,4,0.03222222222222222,1.0,0.8333333333333334,0.00800185203552246
111,poly,8,0.03222222222222222,1.0,0.8366666666666667,0.013445901870727538
112,poly,10,0.03222222222222222,1.0,0.8233333333333335,0.01984262466430664
113,poly,12,0.03222222222222222,1.0,0.8133333333333332,0.012955808639526367
114,poly,14,0.03222222222222222,1.0,0.8233333333333333,0.020451831817626952
115,poly,4,0.034444444444444444,1.0,0.8333333333333334,0.014577722549438477
116,poly,8,0.034444444444444444,1.0,0.8366666666666667,0.009446668624877929
117,poly,10,0.034444444444444444,1.0,0.8233333333333335,0.026202392578125
118,poly,12,0.034444444444444444,1.0,0.8133333333333332,0.018127822875976564
119,poly,14,0.034444444444444444,1.0,0.8233333333333333,0.014705514907836914
120,poly,4,0.03666666666666667,1.0,0.8333333333333334,0.018478250503540038
121,poly,8,0.03666666666666667,1.0,0.8366666666666667,0.009257078170776367
122,poly,10,0.03666666666666667,1.0,0.8233333333333335,0.021935558319091795
123,poly,12,0.03666666666666667,1.0,0.8133333333333332,0.02423100471496582
124,poly,14,0.03666666666666667,1.0,0.8233333333333333,0.02112751007080078
125,poly,4,0.03888888888888889,1.0,0.8333333333333334,0.017870283126831053
126,poly,8,0.03888888888888889,1.0,0.8366666666666667,0.009339427947998047
127,poly,10,0.03888888888888889,1.0,0.8233333333333335,0.019496679306030273
128,poly,12,0.03888888888888889,1.0,0.8133333333333332,0.016050291061401368
